dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,3,0.1,fine,1,5000,5000,000000110,239,0.0478,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,000100100,2779,0.5558,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,000001110,236,0.0472,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,011101110,45,0.009,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,000001100,664,0.1328,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,001001110,103,0.0206,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,001100110,13,0.0026,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,000100110,90,0.018,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,001101110,77,0.0154,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,001001010,629,0.1258,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,000101110,49,0.0098,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,001101100,71,0.0142,ESA
Amazon0302,True,3,0.1,fine,1,5000,5000,001100010,3,0.0006,ESA
