dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100010000110110110110,455,0.091,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100111010110110111110,59,0.0118,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0011100111110111110111110,3,0.0006,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0111110111110111110111110,3,0.0006,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100001000110010111110,424,0.0848,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100010000110110010100,1039,0.2078,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100110010100110110010,334,0.0668,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100001000010000111110,533,0.1066,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100110010110110110110,73,0.0146,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100001000100010111010,1891,0.3782,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100101010111010111110,9,0.0018,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100011000110110111110,70,0.014,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100101010011000111110,43,0.0086,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100101010101010111010,8,0.0016,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0000100011000110110011100,37,0.0074,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100111010111110111110,11,0.0022,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100011000111110111110,8,0.0016,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100111010111110011100,0,0.0,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0011100111110011100111110,0,0.0,ESA
CA-AstroPh,False,5,0.0001,fine,3,5000,5000,0001100101010101010011000,0,0.0,ESA
