dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
Amazon0302,True,4,0.01,fine,2,1948390,0001001001001010,14000,0.007185419756824866
Amazon0302,True,4,0.01,fine,2,1948390,0000000110001100,78381,0.0402285989971207
Amazon0302,True,4,0.01,fine,2,1948390,0000000001001100,96531,0.04954398246757579
Amazon0302,True,4,0.01,fine,2,1948390,0000000100011000,44162,0.022665893378635695
Amazon0302,True,4,0.01,fine,2,1948390,0000000110001000,210914,0.10825040161363998
Amazon0302,True,4,0.01,fine,2,1948390,0000000101001000,11487,0.005895636910474802
Amazon0302,True,4,0.01,fine,2,1948390,0000100010001000,1122602,0.576169042132222
Amazon0302,True,4,0.01,fine,2,1948390,0000100010011010,15770,0.008093862111794867
Amazon0302,True,4,0.01,fine,2,1948390,0001000100010010,92407,0.04742736310492253
Amazon0302,True,4,0.01,fine,2,1948390,0001000101001000,17485,0.008974076032005913
Amazon0302,True,4,0.01,fine,2,1948390,0000100010001010,27438,0.014082396234840047
Amazon0302,True,4,0.01,fine,2,1948390,0001000101000100,37093,0.01903776964570748
Amazon0302,True,4,0.01,fine,2,1948390,0000100010011100,226,0.00011599320464588712
Amazon0302,True,4,0.01,fine,2,1948390,0001001101010010,6614,0.0033945975908314043
Amazon0302,True,4,0.01,fine,2,1948390,0000000110001010,1422,0.0007298333495860685
Amazon0302,True,4,0.01,fine,2,1948390,0000000110011000,6967,0.00357577281755706
Amazon0302,True,4,0.01,fine,2,1948390,0000000110000110,8550,0.004388238494346614
Amazon0302,True,4,0.01,fine,2,1948390,0000000100011010,6961,0.003572693351946992
Amazon0302,True,4,0.01,fine,2,1948390,0001100110011010,1240,0.0006364228927473452
Amazon0302,True,4,0.01,fine,2,1948390,0000000000011100,4318,0.0022161887507121266
Amazon0302,True,4,0.01,fine,2,1948390,0000100110011010,594,0.0003048670953967122
Amazon0302,True,4,0.01,fine,2,1948390,0000000111011110,119,6.107606793301136e-05
Amazon0302,True,4,0.01,fine,2,1948390,0000000001001010,10536,0.005407541611279056
Amazon0302,True,4,0.01,fine,2,1948390,0000000110011010,2565,0.0013164715483039843
Amazon0302,True,4,0.01,fine,2,1948390,0000000101001100,8444,0.004333834601902084
Amazon0302,True,4,0.01,fine,2,1948390,0001001101011010,1612,0.0008273497605715488
Amazon0302,True,4,0.01,fine,2,1948390,0001001001010110,1430,0.0007339393037328255
Amazon0302,True,4,0.01,fine,2,1948390,0001001111001000,207,0.00010624156354733909
Amazon0302,True,4,0.01,fine,2,1948390,0001001111011000,435,0.00022326125672991547
Amazon0302,True,4,0.01,fine,2,1948390,0001000101011000,2200,0.0011291373903581931
Amazon0302,True,4,0.01,fine,2,1948390,0001000101001100,9300,0.00477317169560509
Amazon0302,True,4,0.01,fine,2,1948390,0001000101011100,1769,0.0009079291107016562
Amazon0302,True,4,0.01,fine,2,1948390,0001000100010110,5837,0.0029958067943276242
Amazon0302,True,4,0.01,fine,2,1948390,0001000101010100,21848,0.011213360774793547
Amazon0302,True,4,0.01,fine,2,1948390,0000000110010100,15073,0.007736130856758657
Amazon0302,True,4,0.01,fine,2,1948390,0000001101011000,1454,0.0007462571661730967
Amazon0302,True,4,0.01,fine,2,1948390,0000000101011000,1314,0.0006744029686048481
Amazon0302,True,4,0.01,fine,2,1948390,0000000110011100,832,0.00042701923126273487
Amazon0302,True,4,0.01,fine,2,1948390,0000000011001100,493,0.0002530294242939042
Amazon0302,True,4,0.01,fine,2,1948390,0000000001011010,3174,0.001629037307725866
Amazon0302,True,4,0.01,fine,2,1948390,0000000110010110,5492,0.002818737521748726
Amazon0302,True,4,0.01,fine,2,1948390,0000000001001110,522,0.00026791350807589857
Amazon0302,True,4,0.01,fine,2,1948390,0000000000001110,992,0.0005091383141978762
Amazon0302,True,4,0.01,fine,2,1948390,0001001101011110,900,0.00046191984151016996
Amazon0302,True,4,0.01,fine,2,1948390,0000001101011110,1100,0.0005645686951790966
Amazon0302,True,4,0.01,fine,2,1948390,0001100110011000,1783,0.0009151145304584811
Amazon0302,True,4,0.01,fine,2,1948390,0001001001000110,1482,0.0007606280056867465
Amazon0302,True,4,0.01,fine,2,1948390,0000000101011100,1176,0.0006035752595732887
Amazon0302,True,4,0.01,fine,2,1948390,0000101111011110,135,6.92879762265255e-05
Amazon0302,True,4,0.01,fine,2,1948390,0000000001011110,924,0.00047423770395044114
Amazon0302,True,4,0.01,fine,2,1948390,0001001101010110,5243,0.002690939698930912
Amazon0302,True,4,0.01,fine,2,1948390,0001000101010110,3398,0.0017440040238350639
Amazon0302,True,4,0.01,fine,2,1948390,0000001110001000,311,0.00015961896745518095
Amazon0302,True,4,0.01,fine,2,1948390,0001001010000110,10,5.132442683446332e-06
Amazon0302,True,4,0.01,fine,2,1948390,0001000101000010,203,0.00010418858647396055
Amazon0302,True,4,0.01,fine,2,1948390,0000000111011100,95,4.875820549274016e-05
