dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100001000100010111010,1707,0.3414,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100010000110110010100,2768,0.5536,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100011000110110011100,190,0.038,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100110010100110110010,136,0.0272,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100010000110110110110,103,0.0206,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100001000110010111110,21,0.0042,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100110010110110110110,6,0.0012,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0001100101010101010011000,17,0.0034,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0001100101010101010111010,6,0.0012,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100011000110110111110,4,0.0008,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0000100001000010000111110,41,0.0082,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0001100101010111010111110,0,0.0,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0001100101010011000111110,2,0.0004,ESA
roadNet-CA,False,5,0.0001,fine,2,5000,5000,0001100011000111110011100,0,0.0,ESA
