dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100010000110110010100,2750,0.55,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100011000110110011100,204,0.0408,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100001000100010111010,1707,0.3414,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100110010100110110010,138,0.0276,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0001100101010101010111010,8,0.0016,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100010000110110110110,106,0.0212,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0001100101010101010011000,16,0.0032,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100001000010000111110,42,0.0084,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100011000110110111110,3,0.0006,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0001100101010111010111110,0,0.0,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100110010110110110110,4,0.0008,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0000100001000110010111110,18,0.0036,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0001100101010011000111110,3,0.0006,ESA
roadNet-CA,False,5,0.0001,fine,3,5000,5000,0011100111110011100111110,0,0.0,ESA
