dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000011100001000011000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010000111000,96,0.0192,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010100110000,144,0.0288,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100011000110000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000000011110,587,0.1174,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001000011010,28,0.0056,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001100011010,10,0.002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011000010000,58,0.0116,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000010011100,625,0.125,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000010011110,168,0.0336,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000100001000100010001110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000110010100,129,0.0258,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000010000100001000010000,58,0.0116,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001110011100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000111100110010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000110100111000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000011100101010,11,0.0022,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001100011110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000010000100001000010010,15,0.003,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000011110001100,4,0.0008,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000010011010,181,0.0362,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010100011010,29,0.0058,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000010000100001000110100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000111000110000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001000010000,61,0.0122,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001000011000,125,0.025,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000100111000,17,0.0034,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010100111000,26,0.0052,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000010000110000,76,0.0152,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011010110000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011000110110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000110100011010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000100010110000,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000100100010000,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000110011100,46,0.0092,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010100011000,155,0.031,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000010111110,13,0.0026,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000110111110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010110110000,8,0.0016,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000100110000,101,0.0202,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000100011000,239,0.0478,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001000110000,15,0.003,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000010010110110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001010110100,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000110001110011110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000100011010,60,0.012,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000010010010110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010110010100,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000011100101000,30,0.006,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010001000110000,5,0.001,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000010111100,17,0.0034,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001010011110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010010110110010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000110010110,55,0.011,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011010100100,20,0.004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000110001100011010110010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000010000110001100011000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000000111100,182,0.0364,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000110010111110,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000110011110,21,0.0042,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000111000000010,6,0.0012,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010001000011000,4,0.0008,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001100011000,35,0.007,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000100001000010010100100,6,0.0012,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000100010010,83,0.0166,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000010010010000,21,0.0042,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000011100001000,78,0.0156,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000100001000010010000100,10,0.002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000011110111100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010011110101100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000000000111110,65,0.013,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011010100010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000110111100,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000110010100,8,0.0016,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010100010010,85,0.017,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000111000010000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000111010000100,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000011100011000,14,0.0028,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001100011100,5,0.001,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010000110011100,20,0.004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010110011100,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010001010110110,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000011010011000111010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000010010110000,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011000110000,25,0.005,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100011100010000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010010011100,20,0.004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010011110101000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011000100100,10,0.002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000110100010000,15,0.003,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010100111010,9,0.0018,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010011000101000,4,0.0008,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000011100001000011010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000010000100001010110110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001000001010,4,0.0008,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010011000011010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000011100001000010000,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001010001000011100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000010110110010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000011000100010,7,0.0014,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001000010010110100,5,0.001,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001000010010,7,0.0014,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000001100001100111000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000010011010111110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,2,5000,5000,0000000000000110110111110,0,0.0,ESA
