dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000111010100,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101011010,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000100010001000,2189,0.4378,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110001100,251,0.0502,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0011001101011110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001101010110,14,0.0028,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000100011110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000111000110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110000110,23,0.0046,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001101010010,24,0.0048,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000100011000,162,0.0324,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000000011110,6,0.0012,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001100110011010,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101001000,46,0.0092,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110001000,846,0.1692,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000001101011010,3,0.0006,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101011100,5,0.001,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101011000,6,0.0012,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101010110,9,0.0018,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000000001110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101001100,30,0.006,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110010100,51,0.0102,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0111101111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000001111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000100011010,26,0.0052,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001101011010,6,0.0012,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000100111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001100011001110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001101011000,9,0.0018,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000111010110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001101111011110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0011101110011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101010010,5,0.001,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001001001010,49,0.0098,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0011101111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110011010,9,0.0018,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000001011010,14,0.0028,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110010110,19,0.0038,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000110011000,18,0.0036,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000001001010,38,0.0076,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000101000100,78,0.0156,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001101011110,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000001101011110,3,0.0006,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001111001000,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001001111011000,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000100010011010,47,0.0094,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0001000100010010,337,0.0674,ESA
Amazon0302,True,4,0.01,fine,1,5000,5000,0000000111001100,2,0.0004,ESA
