dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,4,0.01,fine,2,5000,5000,0001100110011010,3,0.0006,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110001100,175,0.035,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000001011010,8,0.0016,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001101010010,24,0.0048,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100010001000,2788,0.5576,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000000001110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000101001100,28,0.0056,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011001101011110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101001100,27,0.0054,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001001011010,5,0.001,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000000011100,10,0.002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000101011000,5,0.001,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101011000,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101010110,6,0.0012,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100010011010,37,0.0074,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000001001100,197,0.0394,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011001111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110001000,617,0.1234,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011001101011100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001101011110,3,0.0006,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011101110011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001100111011100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000101011010,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011101110011010,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000111010110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000100010010,271,0.0542,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000101011100,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110011000,17,0.0034,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0111101111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001101011010,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111011010,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000000011110,6,0.0012,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001101011000,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001101011110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001101011000,3,0.0006,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101011100,8,0.0016,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100010001010,63,0.0126,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101010100,57,0.0114,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001111011110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001001001010,27,0.0054,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000001001110,2,0.0004,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110010100,37,0.0074,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001001011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101000100,134,0.0268,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101001110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001101010110,12,0.0024,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001101111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100010001110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111001100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100110011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011001101010110,3,0.0006,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011100111011100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000101010010,5,0.001,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110010110,11,0.0022,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111011000,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000011011110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100111011110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110000110,20,0.004,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001110011000,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110011100,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001110011010,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001110011110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000100010110,13,0.0026,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111010010,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000111011100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000001001010,31,0.0062,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001000100011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001101011010,4,0.0008,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111011100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000110011010,6,0.0012,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001101011011010,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111011110,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001001001110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000100011000,116,0.0232,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001001111001000,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000100111011100,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0001101111011010,0,0.0,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0011101111011110,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000001110001100,1,0.0002,ESA
Amazon0302,True,4,0.01,fine,2,5000,5000,0000000100011110,2,0.0004,ESA
