dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000011100110100101010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000010000100001000010000,3536,0.7072,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001100101010011000,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000010000100001000110010,7,0.0014,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001000011000010000,35,0.007,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001100001100001010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001010011100110000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000110010100111010110010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001100001000010000,687,0.1374,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0001110011100111010110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000111100001100011100,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001010111110111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100001010010100101010,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001000111010101110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100001010000100101010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100001000110010100110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001100001000101000,4,0.0008,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100011010100110011000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0011110111110111110111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001010011000101110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100110010100110010010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0001100011010110100111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001100111010111010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001100001010010000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000010001100011010011000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001010011000101000,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100010000110010110010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000000000010100110000,2,0.0004,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000110111110111110110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0011110011110111010111010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000000001000011000010100,2,0.0004,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100010000110100101110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,1,5000,5000,0000100111010110110100110,0,0.0,ESA
