dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100001000100010111010,4228603,0.38837511428934873
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100010000110110110110,927384,0.08517537990445387
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100010000110110010100,1949249,0.1790283465138247
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100001000010000111110,1271914,0.11681866212463612
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100001000110010111110,975515,0.08959596103393343
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100110010100110110010,814472,0.07480500205043472
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100110010110110110110,141875,0.013030478231179742
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100011000110110011100,44908,0.004124565401979347
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100101010011000111110,90426,0.008305156120053987
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100011000110110111110,210204,0.01930614023687687
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100101010101010111010,9565,0.0008784953253302854
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100011000111110111110,13965,0.001282612359460265
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100101010111010111110,20471,0.0018801545012897304
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100101010101010011000,3325,0.0003053838951095869
CA-AstroPh,False,5,0.0001,fine,1,10887935,0000100111010110110111110,146252,0.013432482835358587
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100111010111110111110,26502,0.002434070372389255
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100111010111110011100,851,7.815990819195742e-05
CA-AstroPh,False,5,0.0001,fine,1,10887935,0001100011000111110011100,178,1.6348370926167358e-05
CA-AstroPh,False,5,0.0001,fine,1,10887935,0111110111110111110111110,6465,0.0005937765058296178
CA-AstroPh,False,5,0.0001,fine,1,10887935,0011100111110111110111110,5455,0.0005010132775406906
CA-AstroPh,False,5,0.0001,fine,1,10887935,0011100111110011100111110,356,3.2696741852334717e-05
