dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
roadNet-CA,False,5,0.0001,fine,3,3690,0000100010000110110010100,1989,0.5390243902439025
roadNet-CA,False,5,0.0001,fine,3,3690,0000100001000100010111010,1300,0.3523035230352303
roadNet-CA,False,5,0.0001,fine,3,3690,0000100011000110110011100,151,0.04092140921409214
roadNet-CA,False,5,0.0001,fine,3,3690,0001100101010101010011000,15,0.0040650406504065045
roadNet-CA,False,5,0.0001,fine,3,3690,0001100101010101010111010,7,0.001897018970189702
roadNet-CA,False,5,0.0001,fine,3,3690,0000100110010100110110010,107,0.02899728997289973
roadNet-CA,False,5,0.0001,fine,3,3690,0000100010000110110110110,70,0.018970189701897018
roadNet-CA,False,5,0.0001,fine,3,3690,0000100001000010000111110,29,0.007859078590785908
roadNet-CA,False,5,0.0001,fine,3,3690,0000100110010110110110110,4,0.001084010840108401
roadNet-CA,False,5,0.0001,fine,3,3690,0000100001000110010111110,13,0.0035230352303523035
roadNet-CA,False,5,0.0001,fine,3,3690,0001100101010011000111110,2,0.0005420054200542005
roadNet-CA,False,5,0.0001,fine,3,3690,0000100011000110110111110,3,0.0008130081300813008
